who,amount
0xb57ddc186c1afe6be1e05d4f2ec339ff03876c7d,24064000000000000000000000
0x281ff8ed6fb8637d8bcbd0450dc791aebb774f0a,12800000000000000000000
0x17dbdff445f9b59f8b1e231e9a499443276cb416,4911360000000000000000000
0x0e085f5400177ff12cd455419a477f5e4d4076b0,359680000000000000000000
0x95b1d74bfd043f45e69d45f4c7ce764a6dc27746,5120000000000000000000000
0xde3831d8755ec44a5eb61757c9e3198eb7f1f871,4602880000000000000000000
0x26e174dc8ff20831eaa75fef12822e371ad662e7,12800000000000000000000
0x0d9f693860dced6485ee49581362567e7fa02d33,28672000000000000000000000
0x79a8ae72102ec9ef2c48d5ccf851646aaa2e8525,131840000000000000000000000
0xa116bf19fdb9e91d5fc400abff91bc485bfe8b29,115200000000000000000000
0x68a0e137814cdb50e445824ef6af5a5bf9b8bd8d,73728000000000000000000
0xf1e2d6260a6d14ea89db7f1e901e312a34d23833,256000000000000000000000
0xd6637a1641e24a8ab3c93d4f724938033f51eabf,16128000000000000000000000
0x5ff4a620fe2e7ab1a947b7b1be5b1719d3c7f4ca,7680000000000000000000
0xc15563cf57aa64e062397aafefe1bd00dd86fff8,12800000000000000000000
0xce2191a070d9f9bf7912954f0117c0013e82ee47,45568000000000000000000000
0x5d21ec711d3740f21e48d84152e5ca2eb066bbaa,175008986272335616000000000
0xae79a6beaa13e6bb8e142b6115e123038274aae9,714240000000000000000000
0x0cf776d57e0223f47ed3a101927bb78d41ad8a13,1442560000000000000000000
0x90b1162aad277cf3de9b5df69719bea1793d0892,4684800000000000000000000
0xf15d35d68e67cd2fd6e6fe9268cf210ee45c677d,6941440000000000000000000
0xd9b8954ce0970c29a7c65b32babc810ac19cccfe,45600422145093888000000000
0x3c233c71e27a7de424192a9ebc843665c6ce18bb,51200000000000000000000000
0x14f8680954cd0b4f31111aebf3b2e20e953aac5d,437760000000000000000000
0x015ec1fa097ece8cadb1fcb8fafdd3b953b02e49,682229760000000000000000000
0x5dd68958e07cec3f65489db8983ad737c37e0646,1856634880000000000000000000
0x1472dcfde6312b9306be95ac98cd59a4e1f39b72,172800000000000000000000000
0x598f32d09a13a095b472066c7c77165aff45fe43,1280000000000000000000000
0xf819852c81f6ae73c84143cc71b60949d927b65c,2534400000000000000000000
0x038baf880ab8087046c467bab5447df99416bb08,23750400000000000000000000
0x96bef12ef51c33df12a6dd137e687ea316f93091,2752000000000000000000000
0x0dc5be10ec62a3ea25aa5843d2130e89d6227433,56305971053532160000000000
0x1da7ea5bd73fd7210909aa81c3b9d9a19b80cb16,2564554240000000000000000
0x530cafdc90c5353c6654999cbdb16ab14af1fcc4,9614080000000000000000000
0x0f6150957a2eaee017ec52e2cbcba56854d08d2a,127974400000000000000000000
0xb7ae3beb06dd402962cef689e7fc6d025ea1028c,48512000000000000000000000
0xe12262a16b4796f9b80865af694a9b11f5403905,478412800000000000000000001
0x193cd2fb8a6610d2e6cc797890ee430de92e5b26,134773918241924608000000000
0xae996ffd15a4d84eff252f3f9e8a01fc0bd72429,30464000000000000000000000
0x6ab5d3e5069326ff4601e77c3651f0c216d7e036,25600000000000000000000000
0x3e677a06cb0b356216f7aadf8d81ca9f5c0754c2,33280000000000000000000000
0xcdee11332606f67b34ae210f5dd933f5e37c88eb,3840000000000000000000000
0x850c3f267fdb0d9a1a93354ccc107a2d08c0d4cd,1280000000000000000000
0x477d83525f4edef065d59bb631ee836cb06329ab,8960000000000000000000000
0x13783f40743729a5180a200a07dd8c6c0ea14bb6,61798526224640000000000
0xb8f97a413c52b9d74b4afc211f84848c0d2b43d4,63501779562731264000000000
0x5e2ea6f2d48fb282cb71f71151ca678526fea8cc,1024000000000000000000000
0x50eab6fcdca2f35a1dc33692d896624c5f9ffb05,656670720000000000000000000
0x9c5933b31da8b545261d6a35cfe556255ca2e853,3123200000000000000000000
0xb65ce9c3f7e627f7edb74f2d63d80f73adc621b3,42572800000000000000000000
0xa07f40cd0d7af750a2f5236e7884a305afaab789,265728000000000000000000
0x147bf8d42736f4eb6a518ad4296be62c18ee07f8,896000000000000000000000
0x7302333e1d5d4e14cf0ed162d5f5796634616dc2,2560000000000000000000000000
0x53d64776e99226cf8d41dea1bd5740316f1e0c0d,115200000000000000000000
0x795c4f87a2066470679111b5b6fe8f247734ea31,512000000000000000000
0x05fe6c2e4bda41f00f24c6b449734c2415fdcda9,188416000000000000000000000
0xb25165e01a7d74b72794855404a9a422c2b97426,38755840000000000000000000
0x5b2bc1809302238ac65ed9bb824437a4a6b979a5,48178230514386432000000000
0xa5bb292801bd357cd8f19e47fd4d44deb7396bd4,25600000000000000000000000
0x07a6d58cac8d98af26508635815ce1e56458c5a2,25600000000000000000000
0x37b1a9af9ac1492ddd0cc15248bac9df40c9f495,21248000000000000000000
0xf1670877bb06df4f0d74d50153dc4e4ed83c46ed,219158876888280576000000000
0x67131485a916b02f50006d01cc82b93d2778dc65,133120000000000000000000000
0x857b5b7999c1e195221eab4f5f579ef42a06a454,24499200000000000000000000
0x63837d962e53ad465593244849baf24c880e9da8,82064551926956032000000000
0xa45f9b4180a803e2c44050083c8e9bc164d273ca,1935872000000000000000000
0x39331d3d008ae22ca71cc37d8ed89dc01a3dcc13,25080430485569536000000000
0x9fa44ea6483d70e99c6b3c402596edf56fd7882c,17368730368000000000000000
0x0e94f579ced169c40b5562db55472943a4157727,32000000000000000000000000
0x8c2f4f24346e633e82bc6ec87a6eb6d664203fff,1704960000000000000000000
0xe178ae2ee58f7c85fee8354b1272c5e6ffc41161,116005843563933696000000000
0x5e32bb66a18e5cdd2d7b220d428261e5f6079cff,896000000000000000000000
0xf8a22b371161d63b1a17f0aace7a953df3ebed80,25600000000000000000000
0xd8621accd0b36fdaaf52051289b072e836fff3c2,14848000000000000000000000
0xa1c12e9cc1521fa15c58b60d3eacf6c63786c001,3217920000000000000000000
0x063ee592f57d9d0762b35d316c4b71fba01302c8,2175488000000000000000000
0x23b1f02ac08d722e6eacfca220c88ae1d03be7b2,122574850456576000000000
